Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2011,HUMAN.ST,Humana AB,Healthcare Providers & Services,Health Care,2193.1,164.08,1875.06,0.0,76.52,507.18,0.0,,0.15268740880949572
2012,HUMAN.ST,Humana AB,Healthcare Providers & Services,Health Care,2562.5,214.7,2172.34,0.0,22.7,538.0,0.0,,0.28394052044609674
2013,HUMAN.ST,Humana AB,Healthcare Providers & Services,Health Care,3148.89,302.34,2645.28,0.0,24.37,803.91,0.0,,0.2200495080295052
2014,HUMAN.ST,Humana AB,Healthcare Providers & Services,Health Care,4652.62,637.5,3711.99,0.0,102.88,945.08,0.0,,0.21188682439581846
2015,HUMAN.ST,Humana AB,Healthcare Providers & Services,Health Care,5406.77,803.13,4235.55,0.0,164.45,1143.89,0.0,,0.178024110709946
2016,HUMAN.ST,Humana AB,Healthcare Providers & Services,Health Care,6247.2,994.72,4874.43,0.0,124.71,1636.8,0.0,3615.75,0.15477761485825958
2017,HUMAN.ST,Humana AB,Healthcare Providers & Services,Health Care,6349.44,1041.94,4982.14,0.0,63.91,1892.22,0.0,2924.59,0.1381710371944064
2018,HUMAN.ST,Humana AB,Healthcare Providers & Services,Health Care,6297.75,1038.54,4871.51,0.0,56.19,2078.58,16.59,3111.43,0.15822582415746683
2019,HUMAN.ST,Humana AB,Healthcare Providers & Services,Health Care,6948.67,1195.8,5382.5,0.0,124.7,2140.68,20.63,3034.49,0.11366717407498227
2020,HUMAN.ST,Humana AB,Healthcare Providers & Services,Health Care,7980.09,1312.1,6180.81,0.0,144.31,2458.05,0.0,3284.94,0.13948861902727747
2021,HUMAN.ST,Humana AB,Healthcare Providers & Services,Health Care,8206.07,1348.97,6346.98,0.0,138.3,2487.33,0.0,3763.91,0.1494855929852492
2022,HUMAN.ST,Humana AB,Healthcare Providers & Services,Health Care,8780.29,1467.97,6891.4,0.0,157.72,2578.13,0.0,1733.15,0.10208949897794174
2023,HUMAN.ST,Humana AB,Healthcare Providers & Services,Health Care,9603.42,1729.79,7494.43,0.0,246.83,2906.53,39.26,1355.41,0.04493531446572899
2024,HUMAN.ST,Humana AB,Healthcare Providers & Services,Health Care,10471.01,1797.03,8161.4,0.0,288.83,3250.84,133.65,1899.51,0.06611040363540738
