Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2013,SANION.ST,Saniona AB,Biotechnology & Medical Research,Health Care,12.02,0.6,12.94,0.0,0.0,-2.73,0.0,0.5567765567765566,0.0,0.41,
2014,SANION.ST,Saniona AB,Biotechnology & Medical Research,Health Care,19.95,1.59,25.95,0.0,0.01,8.42,0.0,-0.9026128266033254,0.0,0.7,95.04
2015,SANION.ST,Saniona AB,Biotechnology & Medical Research,Health Care,13.03,1.96,37.92,0.0,0.04,55.41,0.0,-0.4852914636347228,0.0,0.73,345.13
2016,SANION.ST,Saniona AB,Biotechnology & Medical Research,Health Care,73.57,1.45,68.03999999999999,0.0,0.23,51.45,0.0,0.074829931972789,0.0,0.38,808.97
2017,SANION.ST,Saniona AB,Biotechnology & Medical Research,Health Care,20.04,3.16,72.25,0.0,0.36,37.65,0.0,-1.4802124833997343,0.0,0.54,667.41
2018,SANION.ST,Saniona AB,Biotechnology & Medical Research,Health Care,51.4,3.83,98.33,0.0,0.15,38.5,0.0,-1.322337662337662,0.0,0.59,711.87
2019,SANION.ST,Saniona AB,Biotechnology & Medical Research,Health Care,6.7,3.27,90.56,0.0,0.21,50.53,0.0,-1.7284781318028892,0.0,2.05,683.53
2020,SANION.ST,Saniona AB,Biotechnology & Medical Research,Health Care,8.39,3.33,168.18,0.0,11.62,630.13,0.0,-0.2773078571088506,0.0,4.91,1341.67
2021,SANION.ST,Saniona AB,Biotechnology & Medical Research,Health Care,10.5,4.64,418.34,0.0,10.87,274.75,0.0,-1.540855323020928,0.0,8.69,537.91
2022,SANION.ST,Saniona AB,Biotechnology & Medical Research,Health Care,14.52,4.25,224.73,0.0,11.36,49.61,0.0,-4.551904857891554,0.0,7.43,179.98
2023,SANION.ST,Saniona AB,Biotechnology & Medical Research,Health Care,16.76,5.04,90.7,0.0,12.57,-22.09,0.0,4.144409234947941,0.0,9.61,258.89
2024,SANION.ST,Saniona AB,Biotechnology & Medical Research,Health Care,340.36,5.18,92.0,0.0,7.28,238.33,0.0,0.9898040532035411,0.0,7.79,930.18
